stop_date,stop_time,country_name,driver_gender,driver_age_raw,driver_age,driver_race,violation_raw,violation,search_conducted,search_type,stop_outcome,is_arrested,stop_duration,drugs_related_stop,vehicle_number
01/01/2020,0:00:00,Canada,M,59,19,Asian,Drunk Driving,Speeding,True,Vehicle Search,Ticket,True,16-30 Min,True,UP76DY3473
01/01/2020,0:02:00,USA,M,26,76,Black,Signal Violation,Speeding,False,Frisk,Ticket,True,16-30 Min,True,RJ32OM7264
01/01/2020,0:03:00,Canada,M,26,76,Black,Speeding,DUI,True,Frisk,Warning,False,0-15 Min,True,RJ76TI3807
01/01/2020,0:06:00,USA,F,80,70,White,Signal Violation,Speeding,False,Vehicle Search,Ticket,False,30+ Min,False,KA40AD3153
01/01/2020,0:11:00,Canada,F,58,53,Hispanic,Signal Violation,Signal,False,Vehicle Search,Arrest,True,30+ Min,True,KA61JB1004
01/01/2020,0:12:00,India,M,51,46,Asian,Drunk Driving,Signal,False,Vehicle Search,Ticket,False,16-30 Min,True,WB70IV9884
01/01/2020,0:16:00,India,M,75,21,Asian,Seatbelt,Speeding,True,Vehicle Search,Arrest,False,16-30 Min,False,UP82DB7554
01/01/2020,0:18:00,USA,M,46,71,White,Speeding,Speeding,True,Frisk,Warning,True,16-30 Min,True,MH80WR1351
01/01/2020,0:23:00,Canada,F,47,60,Black,Signal Violation,Signal,True,Frisk,Arrest,True,0-15 Min,False,GJ24GN5905
01/01/2020,0:28:00,USA,F,71,69,Hispanic,Seatbelt,Seatbelt,False,Vehicle Search,Ticket,True,0-15 Min,False,GJ67TR1208
01/01/2020,0:31:00,USA,F,18,73,Asian,Drunk Driving,Signal,True,Vehicle Search,Warning,False,16-30 Min,False,WB45XD7874
01/01/2020,0:34:00,Canada,M,21,46,Asian,Speeding,Signal,True,Frisk,Warning,False,0-15 Min,False,GJ18QH1179
01/01/2020,0:37:00,Canada,F,68,64,Hispanic,Speeding,Speeding,True,Vehicle Search,Ticket,False,16-30 Min,True,DL78IQ3578
01/01/2020,0:38:00,Canada,F,29,76,Hispanic,Speeding,Signal,True,Vehicle Search,Arrest,False,0-15 Min,False,RJ86OH2697
01/01/2020,0:39:00,USA,F,28,68,Hispanic,Seatbelt,Signal,True,Frisk,Warning,False,0-15 Min,True,GJ17ED4625
01/01/2020,0:43:00,USA,M,52,74,White,Drunk Driving,Signal,True,Vehicle Search,Warning,False,16-30 Min,True,TN43VS9229
01/01/2020,0:46:00,India,M,61,32,Hispanic,Drunk Driving,Signal,False,Vehicle Search,Warning,False,16-30 Min,False,TN84HR9877
01/01/2020,0:49:00,Canada,F,35,47,White,Seatbelt,DUI,True,Vehicle Search,Warning,False,16-30 Min,False,DL13ZS8904
01/01/2020,0:50:00,Canada,F,29,18,White,Signal Violation,Seatbelt,False,Frisk,Arrest,True,16-30 Min,False,MH37EG9241
01/01/2020,0:52:00,USA,F,59,61,White,Drunk Driving,Seatbelt,True,Frisk,Arrest,False,0-15 Min,False,KA64GY4451
01/01/2020,0:53:00,Canada,F,72,43,White,Seatbelt,Speeding,True,Frisk,Ticket,False,16-30 Min,False,GJ17GE2142
01/01/2020,0:54:00,USA,M,49,32,White,Speeding,Signal,True,Frisk,Ticket,True,16-30 Min,True,KA73KN5444
01/01/2020,0:55:00,India,M,26,32,Asian,Speeding,Seatbelt,False,Vehicle Search,Ticket,False,16-30 Min,False,MH58AO2763
01/01/2020,0:56:00,USA,F,52,68,White,Drunk Driving,Speeding,False,Vehicle Search,Arrest,True,0-15 Min,False,DL85LD9268
01/01/2020,0:58:00,USA,M,39,48,Hispanic,Signal Violation,DUI,False,Vehicle Search,Arrest,False,16-30 Min,True,RJ66EL4572
01/01/2020,1:04:00,Canada,M,56,51,White,Seatbelt,Seatbelt,True,Vehicle Search,Arrest,True,16-30 Min,True,DL10UB3062
01/01/2020,1:07:00,Canada,M,66,22,Asian,Seatbelt,Signal,True,Vehicle Search,Arrest,True,0-15 Min,False,GJ11LO3819
01/01/2020,1:10:00,India,M,34,60,Asian,Seatbelt,DUI,False,Vehicle Search,Warning,False,0-15 Min,True,DL81FJ4363
01/01/2020,1:15:00,USA,M,80,55,White,Seatbelt,Signal,False,Vehicle Search,Ticket,True,0-15 Min,True,MH28UO7873
01/01/2020,1:16:00,India,M,35,35,Black,Speeding,Signal,True,Vehicle Search,Warning,False,0-15 Min,True,TN50GM4181
01/01/2020,1:20:00,USA,F,55,21,Asian,Signal Violation,Speeding,False,Frisk,Ticket,True,16-30 Min,False,WB99ER1139
01/01/2020,1:22:00,USA,M,73,53,Hispanic,Signal Violation,Signal,True,Frisk,Warning,False,16-30 Min,True,KA92WF8533
01/01/2020,1:24:00,USA,M,70,22,Black,Seatbelt,Seatbelt,False,Vehicle Search,Arrest,True,0-15 Min,False,DL36CV6003
01/01/2020,1:26:00,USA,M,24,55,Hispanic,Speeding,DUI,False,Frisk,Ticket,False,16-30 Min,True,GJ90BL5009
01/01/2020,1:28:00,Canada,M,53,19,Black,Signal Violation,DUI,False,Frisk,Warning,False,16-30 Min,True,WB96XV1244
01/01/2020,1:29:00,USA,F,46,64,Hispanic,Seatbelt,Speeding,False,Vehicle Search,Warning,True,30+ Min,False,TN87GU9888
01/01/2020,1:30:00,India,F,75,63,Asian,Speeding,DUI,False,Vehicle Search,Ticket,True,0-15 Min,False,MH82TP6195
01/01/2020,1:34:00,India,M,32,39,Black,Signal Violation,Signal,False,Frisk,Ticket,False,0-15 Min,False,RJ91YV2437
01/01/2020,1:35:00,USA,M,57,64,White,Speeding,Speeding,False,Frisk,Ticket,True,0-15 Min,False,RJ93ID8505
01/01/2020,1:36:00,USA,M,53,47,Black,Seatbelt,Seatbelt,False,Frisk,Arrest,True,30+ Min,True,UP77ON6789
01/01/2020,1:38:00,India,F,47,65,White,Seatbelt,Speeding,False,Frisk,Warning,True,0-15 Min,True,KA14JB4215
01/01/2020,1:43:00,USA,M,60,39,Hispanic,Seatbelt,Seatbelt,False,Frisk,Warning,False,0-15 Min,False,RJ49WE2709
01/01/2020,1:44:00,USA,F,47,32,Asian,Seatbelt,Signal,False,Vehicle Search,Arrest,True,0-15 Min,True,GJ22LE3279
01/01/2020,1:45:00,India,F,40,48,Hispanic,Drunk Driving,Seatbelt,True,Vehicle Search,Warning,True,0-15 Min,True,TN36WR9825
01/01/2020,1:47:00,Canada,F,74,69,Black,Drunk Driving,Seatbelt,True,Vehicle Search,Warning,True,30+ Min,True,DL31LO7439
01/01/2020,1:49:00,USA,F,80,71,Hispanic,Speeding,DUI,False,Frisk,Arrest,True,16-30 Min,False,UP75GK5444
01/01/2020,1:50:00,Canada,F,68,45,Hispanic,Drunk Driving,Signal,False,Vehicle Search,Ticket,True,16-30 Min,True,UP23YN8383
01/01/2020,1:51:00,USA,F,25,24,Black,Seatbelt,Seatbelt,False,Frisk,Arrest,True,16-30 Min,False,UP57IX8805
01/01/2020,1:53:00,Canada,F,56,70,Hispanic,Drunk Driving,Speeding,True,Vehicle Search,Arrest,False,16-30 Min,False,DL28SV9081
01/01/2020,1:55:00,Canada,M,31,38,Asian,Speeding,Signal,True,Frisk,Warning,False,16-30 Min,False,TN88OZ3477
01/01/2020,1:58:00,India,M,28,22,Black,Signal Violation,Signal,True,Frisk,Ticket,False,30+ Min,False,TN16TE5832
01/01/2020,1:59:00,India,M,35,48,Asian,Signal Violation,DUI,True,Vehicle Search,Arrest,False,0-15 Min,False,RJ50JG3850
01/01/2020,2:00:00,USA,M,57,18,Black,Signal Violation,Seatbelt,True,Vehicle Search,Arrest,False,16-30 Min,True,TN75VL3241
01/01/2020,2:05:00,USA,F,64,50,Black,Drunk Driving,DUI,False,Frisk,Arrest,False,30+ Min,True,MH55DL5389
01/01/2020,2:06:00,Canada,M,34,43,Asian,Seatbelt,DUI,False,Frisk,Ticket,False,0-15 Min,False,WB64WR4825
01/01/2020,2:15:00,India,F,75,53,Asian,Seatbelt,Signal,False,Frisk,Warning,False,30+ Min,False,UP20GI1142
01/01/2020,2:18:00,India,M,75,63,White,Seatbelt,Signal,False,Frisk,Arrest,False,0-15 Min,True,RJ81PF4808
01/01/2020,2:22:00,Canada,M,74,32,Hispanic,Signal Violation,Signal,True,Vehicle Search,Arrest,False,0-15 Min,True,MH52YO1565
01/01/2020,2:24:00,USA,F,36,22,Hispanic,Signal Violation,Seatbelt,False,Frisk,Ticket,False,30+ Min,False,MH57SO9110
01/01/2020,2:26:00,Canada,F,37,70,Hispanic,Drunk Driving,Signal,True,Frisk,Arrest,True,30+ Min,True,UP74NZ6165
01/01/2020,2:29:00,USA,F,68,67,White,Speeding,Signal,False,Vehicle Search,Ticket,True,30+ Min,True,TN90WP3979
01/01/2020,2:31:00,USA,F,53,60,Asian,Speeding,DUI,True,Vehicle Search,Ticket,False,16-30 Min,False,RJ64RL5151
01/01/2020,2:33:00,India,M,25,79,Hispanic,Drunk Driving,Speeding,False,Vehicle Search,Warning,True,16-30 Min,True,GJ13OM4004
01/01/2020,2:36:00,India,F,34,80,Hispanic,Seatbelt,Signal,False,Frisk,Arrest,True,16-30 Min,False,MH39RB8864
01/01/2020,2:39:00,Canada,F,42,53,Hispanic,Drunk Driving,DUI,False,Frisk,Ticket,True,0-15 Min,False,WB20OZ5713
01/01/2020,2:40:00,Canada,M,27,25,Asian,Speeding,DUI,True,Frisk,Ticket,False,16-30 Min,False,GJ46RC6990
01/01/2020,2:43:00,USA,F,43,34,Hispanic,Seatbelt,DUI,True,Vehicle Search,Warning,False,30+ Min,False,RJ74MI6996
01/01/2020,2:44:00,Canada,F,63,69,Asian,Speeding,Speeding,True,Frisk,Ticket,True,30+ Min,True,RJ99WT2168
01/01/2020,2:49:00,India,M,67,51,Asian,Speeding,Seatbelt,True,Frisk,Ticket,False,16-30 Min,False,RJ14GS9371
01/01/2020,2:51:00,USA,F,25,66,Hispanic,Drunk Driving,Speeding,True,Vehicle Search,Warning,False,16-30 Min,False,RJ23AQ7762
01/01/2020,2:52:00,India,F,50,29,Black,Drunk Driving,Signal,True,Vehicle Search,Ticket,False,30+ Min,False,MH67EH9811
01/01/2020,2:58:00,India,M,31,21,Asian,Drunk Driving,DUI,False,Frisk,Arrest,False,16-30 Min,False,UP73GI4591
01/01/2020,3:00:00,Canada,F,62,25,White,Speeding,Signal,True,Frisk,Warning,True,16-30 Min,False,DL61GF6932
01/01/2020,3:02:00,USA,M,26,33,Hispanic,Seatbelt,Signal,False,Vehicle Search,Ticket,True,16-30 Min,False,KA46AE8526
01/01/2020,3:06:00,USA,M,21,67,Asian,Speeding,DUI,False,Vehicle Search,Warning,True,30+ Min,True,RJ13AK2962
01/01/2020,3:08:00,Canada,F,30,68,Asian,Drunk Driving,Seatbelt,True,Vehicle Search,Arrest,False,16-30 Min,True,GJ12OV1732
01/01/2020,3:09:00,India,M,48,62,Black,Seatbelt,Seatbelt,True,Vehicle Search,Warning,True,0-15 Min,True,KA75PX6384
01/01/2020,3:12:00,Canada,M,70,27,Asian,Signal Violation,Signal,False,Frisk,Warning,True,0-15 Min,False,MH94EZ7397
01/01/2020,3:15:00,India,F,40,73,Black,Seatbelt,Speeding,False,Frisk,Ticket,True,30+ Min,False,KA88AL9836
01/01/2020,3:16:00,India,M,68,47,Black,Signal Violation,Speeding,False,Frisk,Warning,False,30+ Min,True,DL59KH9314
01/01/2020,3:20:00,USA,F,53,75,Black,Speeding,Speeding,False,Frisk,Ticket,True,30+ Min,True,DL45KT1258
01/01/2020,3:23:00,USA,M,30,69,Black,Signal Violation,Seatbelt,False,Vehicle Search,Warning,True,16-30 Min,False,RJ38DZ6444
01/01/2020,3:24:00,India,M,66,18,Black,Seatbelt,Signal,False,Vehicle Search,Ticket,True,30+ Min,False,RJ89JM1899
01/01/2020,3:25:00,Canada,M,27,27,Asian,Seatbelt,DUI,True,Vehicle Search,Arrest,True,0-15 Min,True,GJ83EQ8230
01/01/2020,3:30:00,Canada,M,38,56,Hispanic,Seatbelt,Signal,True,Vehicle Search,Warning,True,16-30 Min,False,TN40GN1546
01/01/2020,3:31:00,USA,M,48,20,Black,Seatbelt,DUI,False,Vehicle Search,Ticket,False,0-15 Min,True,GJ97ZG2462
01/01/2020,3:35:00,India,F,68,28,Hispanic,Speeding,Signal,False,Vehicle Search,Arrest,False,0-15 Min,True,TN14JO6643
01/01/2020,3:36:00,USA,F,38,20,Hispanic,Drunk Driving,DUI,True,Frisk,Ticket,True,16-30 Min,False,KA96HX2588
01/01/2020,3:39:00,Canada,F,29,65,Asian,Speeding,DUI,True,Vehicle Search,Ticket,True,0-15 Min,False,DL85ST1964
01/01/2020,3:40:00,India,M,34,48,Asian,Speeding,DUI,True,Vehicle Search,Ticket,False,30+ Min,True,DL44KB7294
01/01/2020,3:41:00,India,F,45,39,Hispanic,Drunk Driving,Seatbelt,True,Frisk,Warning,True,16-30 Min,False,WB55EX9991
01/01/2020,3:50:00,Canada,F,53,28,Black,Signal Violation,Speeding,False,Vehicle Search,Warning,True,30+ Min,False,UP37TK9974
01/01/2020,3:53:00,India,M,61,32,White,Speeding,Speeding,False,Vehicle Search,Arrest,True,0-15 Min,True,MH94LA2232
01/01/2020,3:55:00,Canada,M,59,24,Asian,Signal Violation,Seatbelt,True,Frisk,Ticket,True,30+ Min,False,DL97FL6698
01/01/2020,3:56:00,USA,F,59,29,Black,Signal Violation,Speeding,False,Vehicle Search,Ticket,False,16-30 Min,False,WB41SB3576
01/01/2020,3:57:00,Canada,F,43,60,Black,Drunk Driving,DUI,True,Vehicle Search,Ticket,True,0-15 Min,True,TN99NM4840
01/01/2020,3:59:00,USA,F,67,40,Black,Signal Violation,Speeding,False,Vehicle Search,Warning,True,30+ Min,True,GJ85GT7600
01/01/2020,4:01:00,India,M,60,43,Black,Drunk Driving,DUI,True,Vehicle Search,Arrest,True,30+ Min,True,RJ37QS4808
01/01/2020,4:02:00,India,F,48,70,White,Signal Violation,DUI,False,Frisk,Arrest,False,16-30 Min,True,KA28QC5221
01/01/2020,4:04:00,USA,M,29,45,Black,Drunk Driving,DUI,False,Frisk,Ticket,True,16-30 Min,False,DL84GM8616
01/01/2020,4:05:00,India,M,64,80,White,Drunk Driving,Signal,False,Frisk,Ticket,True,0-15 Min,True,WB62DR6062
01/01/2020,4:06:00,Canada,M,52,28,Hispanic,Speeding,DUI,False,Vehicle Search,Ticket,True,30+ Min,True,TN67XP3354
01/01/2020,4:11:00,India,M,48,29,White,Speeding,Speeding,False,Vehicle Search,Ticket,False,30+ Min,True,WB49DO8287
